,Closing,RSI,MACD,BB,SMA1,SMA2,Decision
0,5.978,Hold,Buy,Hold,Buy,Buy,Yes
1,6.1979999999999995,Sell,Buy,Hold,Buy,Buy,Yes
2,6.68,Sell,Buy,Hold,Buy,Buy,Yes
3,6.914,Sell,Buy,Hold,Buy,Buy,Yes
4,7.093999999999999,Sell,Buy,Hold,Buy,Buy,Yes
5,7.064,Sell,Buy,Hold,Buy,Buy,Yes
6,6.8660000000000005,Hold,Buy,Hold,Buy,Buy,Yes
7,7.066,Sell,Buy,Hold,Buy,Buy,Yes
8,6.87,Hold,Buy,Hold,Buy,Buy,No
9,6.47,Hold,Buy,Sell,Buy,Buy,No
10,6.297999999999999,Hold,Sell,Sell,Buy,Buy,No
11,6.062,Hold,Sell,Sell,Buy,Buy,No
12,6.312,Hold,Sell,Sell,Buy,Buy,No
13,6.474,Hold,Sell,Sell,Buy,Buy,No
14,6.41,Hold,Sell,Sell,Buy,Buy,No
15,6.303999999999999,Hold,Sell,Sell,Buy,Buy,No
16,6.11,Hold,Sell,Sell,Buy,Buy,No
17,5.706,Hold,Sell,Sell,Buy,Buy,No
18,5.92,Hold,Sell,Sell,Buy,Buy,No
19,6.162000000000001,Hold,Sell,Sell,Buy,Buy,No
20,6.272,Hold,Sell,Sell,Buy,Buy,No
21,6.34,Hold,Sell,Sell,Buy,Buy,No
22,6.452000000000001,Hold,Sell,Sell,Buy,Buy,No
23,6.526,Hold,Sell,Sell,Buy,Buy,No
24,6.018,Hold,Sell,Sell,Buy,Buy,No
25,5.11,Buy,Sell,Sell,Buy,Buy,No
26,5.282,Hold,Sell,Sell,Buy,Buy,No
27,5.546,Hold,Sell,Sell,Buy,Buy,No
28,5.3,Hold,Sell,Sell,Buy,Sell,No
29,5.3260000000000005,Hold,Sell,Sell,Buy,Sell,No
30,5.324,Hold,Sell,Sell,Buy,Sell,No
31,5.334,Hold,Sell,Sell,Buy,Sell,No
32,5.3660000000000005,Hold,Sell,Sell,Buy,Sell,No
33,5.5760000000000005,Hold,Sell,Sell,Buy,Sell,No
34,5.648,Hold,Sell,Sell,Buy,Sell,No
35,5.69,Hold,Sell,Sell,Buy,Sell,No
36,5.392,Hold,Sell,Sell,Buy,Sell,No
37,5.392,Hold,Sell,Sell,Buy,Sell,No
38,5.244,Hold,Sell,Sell,Buy,Sell,No
39,5.15,Hold,Sell,Sell,Buy,Sell,No
40,5.127999999999999,Hold,Sell,Sell,Buy,Sell,No
41,4.806,Buy,Sell,Sell,Buy,Sell,No
42,4.524,Buy,Sell,Sell,Buy,Sell,No
43,4.6080000000000005,Buy,Sell,Sell,Buy,Sell,No
44,4.898,Hold,Sell,Sell,Buy,Sell,No
45,4.936,Hold,Sell,Sell,Buy,Sell,No
46,4.95,Hold,Sell,Sell,Buy,Sell,No
47,4.984,Hold,Sell,Sell,Buy,Sell,No
48,4.802,Hold,Sell,Sell,Buy,Sell,No
49,4.82,Hold,Sell,Sell,Buy,Sell,No
50,4.782,Hold,Buy,Sell,Buy,Sell,No
51,4.788,Hold,Buy,Sell,Buy,Sell,No
52,4.726,Hold,Buy,Sell,Buy,Sell,No
53,4.692,Hold,Buy,Sell,Buy,Sell,No
54,4.614,Hold,Buy,Sell,Sell,Sell,No
55,4.898,Hold,Buy,Sell,Sell,Sell,No
56,4.6419999999999995,Hold,Buy,Sell,Sell,Sell,No
57,4.644,Hold,Buy,Sell,Sell,Sell,No
58,4.65,Hold,Buy,Sell,Sell,Sell,No
59,4.6160000000000005,Hold,Buy,Sell,Sell,Sell,No
60,4.5680000000000005,Hold,Buy,Sell,Sell,Sell,No
61,4.946000000000001,Hold,Buy,Sell,Sell,Sell,No
62,4.72,Hold,Buy,Sell,Sell,Sell,No
63,4.636,Hold,Buy,Sell,Sell,Sell,No
64,4.374,Hold,Buy,Sell,Sell,Sell,No
65,4.3660000000000005,Hold,Buy,Sell,Sell,Sell,No
66,4.506,Hold,Buy,Sell,Sell,Sell,No
67,4.7219999999999995,Hold,Buy,Sell,Sell,Sell,No
68,4.7780000000000005,Hold,Buy,Sell,Sell,Sell,No
69,4.788,Hold,Buy,Sell,Sell,Sell,No
70,4.803999999999999,Hold,Buy,Sell,Sell,Sell,No
71,4.872,Hold,Buy,Sell,Sell,Sell,No
72,4.99,Hold,Buy,Hold,Sell,Sell,No
73,4.988,Hold,Buy,Hold,Sell,Sell,No
74,4.9319999999999995,Hold,Buy,Hold,Sell,Sell,No
75,4.944,Hold,Buy,Hold,Sell,Sell,No
76,4.802,Hold,Buy,Sell,Sell,Sell,No
77,4.814,Hold,Buy,Sell,Sell,Sell,No
78,4.65,Hold,Buy,Sell,Sell,Sell,No
79,4.59,Hold,Buy,Sell,Sell,Buy,No
80,4.564,Hold,Sell,Sell,Sell,Buy,No
81,4.562,Hold,Sell,Sell,Sell,Buy,No
82,4.592,Hold,Sell,Sell,Sell,Buy,No
83,4.546,Hold,Sell,Sell,Sell,Buy,No
84,4.438,Buy,Sell,Sell,Sell,Buy,No
85,4.442,Buy,Sell,Sell,Sell,Buy,No
