,Close,RSI,BBBuy,BBSell,MACDLine,MACDSignal,SMA5,SMA15,SMA30,SMA40,SMA100,Decision
0,4.778,,,,,,,,,,,Yes
1,4.766,,,,,,,,,,,Yes
2,4.392,,,,,,,,,,,Yes
3,3.84,,,,,,,,,,,Yes
4,3.222,,,,,,4.1996,,,,,Yes
5,3.16,,,,,,3.876,,,,,Yes
6,3.492,23.81248344,,,,,3.6212,,,,,Yes
7,3.48,23.5757497,,,,,3.4388,,,,,Yes
8,3.41,22.08174348,,,,,3.3528,,,,,Yes
9,3.628,36.6644923,,,,,3.434,,,,,Yes
10,3.968,52.75376984,,,,,3.5956,,,,,Yes
11,3.978,53.16204698,,,,,3.6928,,,,,Yes
12,4.128,59.31471296,,,,,3.8224,,,,,Yes
13,4.382,67.69753648,,,,,4.0168,,,,,Yes
14,4.06,51.88605579,,,,,4.1032,3.912266667,,,,Yes
15,4.044,51.19291661,,,,,4.1184,3.863333333,,,,Yes
16,4.2,57.6311649,,,,,4.1628,3.8256,,,,Yes
17,4.258,59.9242327,,,,,4.1888,3.816666667,,,,Yes
18,4.19,55.79390208,,,,,4.1504,3.84,,,,Yes
19,4.11,50.97176175,,,,,4.1604,3.8992,,,,Yes
20,4.144,52.98646789,,,,,4.1804,3.9648,,,,Yes
21,4.07,47.98006449,,,,,4.1544,4.003333333,,,,Yes
22,3.988,42.75730404,,,,,4.1004,4.0372,,,,Yes
23,4.184,56.08702713,,,,,4.0992,4.0888,,,,Yes
24,4.39,65.84069587,,,,,4.1552,4.1396,,,,Yes
25,4.252,56.10178297,,,-0.019021446,,4.1768,4.158533333,,,,Yes
26,4.09,46.65114558,,,-0.023090265,,4.1808,4.166,,,,Yes
27,3.918,38.59732631,,,-0.039735748,,4.1668,4.152,,,,Yes
28,3.92,38.7407957,,,-0.052164707,,4.114,4.1212,,,,Yes
29,3.806,33.53079824,,4.389199813,-0.070402043,,3.9972,4.104266667,4.008266667,,,Yes
30,3.58,25.57568135,,4.328721303,-0.101916741,,3.8628,4.073333333,3.968333333,,,Yes
31,3.52,23.82493211,,4.263913472,-0.130232625,,3.7488,4.028,3.9268,,,Yes
32,3.664,36.07705963,,4.231387479,-0.139446122,,3.698,3.9884,3.902533333,,,Yes
33,3.756,42.92016873,,4.229464429,-0.137736513,-0.092393777,3.6652,3.959466667,3.899733333,,,Yes
34,3.83,48.13087207,,4.225226473,-0.128924295,-0.09969988,3.67,3.9408,3.92,,,Yes
35,3.754,43.38533584,,4.212630277,-0.126613591,-0.105082622,3.7048,3.9148,3.9398,,,Yes
36,3.758,43.72602814,,4.210917098,-0.123041232,-0.108674344,3.7524,3.894,3.948666667,,,Yes
37,3.82,49.24881245,,4.208751013,-0.113894327,-0.109718341,3.7836,3.8828,3.96,,,Yes
38,4.026,63.23518795,,4.207507595,-0.088996959,-0.105574065,3.8376,3.872266667,3.980533333,,,Yes
39,3.84,49.00801526,,4.206650314,-0.083313871,-0.101122026,3.8396,3.8356,3.9876,3.9449,,Yes
40,3.98,57.42046665,,4.207025113,-0.066743771,-0.094246375,3.8848,3.817466667,3.988,3.92495,,Yes
41,3.95,55.14602463,,4.206192039,-0.05539405,-0.08647591,3.9232,3.808133333,3.987066667,3.90455,,Yes
42,3.94,54.30944165,,4.19848883,-0.046668267,-0.078514381,3.9472,3.8096,3.9808,3.89325,,Yes
43,3.974,56.90283968,,4.17174737,-0.036587745,-0.070129054,3.9368,3.8132,3.9672,3.8966,,Yes
44,3.896,49.39840302,,4.165918696,-0.034495168,-0.063002277,3.948,3.8192,3.961733333,3.91345,,Yes
45,4.09,63.40330188,,4.168235271,-0.016986793,-0.05379918,3.97,3.8532,3.963266667,3.9367,,Yes
46,4.212,69.58027756,,4.169108034,0.006656369,-0.04170807,4.0224,3.899333333,3.963666667,3.9547,,Yes
47,4.21,69.35638616,,4.165385453,0.024944815,-0.028377493,4.0764,3.935733333,3.962066667,3.97295,,Yes
48,4.108,58.2114707,,4.160104735,0.030852345,-0.016531526,4.1032,3.9592,3.959333333,3.9904,,Yes
49,4.18,63.09520705,,4.164570968,0.040872748,-0.005050671,4.16,3.982533333,3.961666667,4.0042,,Yes
50,4.142,58.85964861,,4.164444703,0.045226366,0.005004736,4.1704,4.0084,3.9616,4.00855,,Yes
51,4.034,48.14349618,,4.162705643,0.039506535,0.011905096,4.1348,4.0268,3.9604,4.00995,,Yes
52,4.144,57.36677125,,4.170536023,0.043349898,0.018194057,4.1216,4.0484,3.9656,4.01035,,Yes
53,4.224,62.95702899,,4.173410279,0.052248831,0.025005011,4.1448,4.0616,3.966933333,4.0064,,Yes
54,4.396,72.12516681,,4.174022472,0.072346298,0.034473269,4.188,4.098666667,3.967133333,4.0148,,Yes
55,4.188,53.45827724,,4.169253927,0.070675125,0.04171364,4.1972,4.112533333,3.965,4.0184,,Yes
56,4.046,44.3218778,,4.167041029,0.057232752,0.044817462,4.1996,4.118933333,3.963533333,4.01455,,Yes
57,4.212,54.84672714,,4.181439289,0.059290918,0.047712154,4.2132,4.137066667,3.973333333,4.0134,,Yes
58,4.154,50.92288939,,4.19146747,0.055600981,0.049289919,4.1992,4.149066667,3.981133333,4.0125,,Yes
59,3.974,40.4460988,,4.194551512,0.037717401,0.046975415,4.1148,4.154266667,3.986733333,4.0091,,Yes
60,3.912,37.35751638,,4.192061919,0.018330352,0.041246403,4.0596,4.1424,3.9978,4.0033,,Yes
61,4.02,45.77296497,,4.187286174,0.01154756,0.035306634,4.0544,4.1296,4.014466667,4.00205,,Yes
62,4.106,51.78980761,,4.189931329,0.01296221,0.030837749,4.0332,4.122666667,4.0292,4.005,,Yes
63,4.28,61.79582415,,4.205217044,0.027803178,0.030230835,4.0584,4.134133333,4.046666667,4.0074,,Yes
64,4.396,67.10584911,,4.230715805,0.048367433,0.033858155,4.1428,4.148533333,4.065533333,4.00755,,Yes
65,4.082,46.63564532,,4.231191096,0.0388794,0.034862404,4.1768,4.144533333,4.076466667,4.0033,,Yes
66,4.12,48.83908337,,4.231629509,0.034034025,0.034696728,4.1968,4.150266667,4.088533333,4.00405,,Yes
67,4.198,53.44266156,,4.236460772,0.036072161,0.034971815,4.2152,4.153866667,4.101133333,4.01105,,Yes
